Tool,Link,PR Link,Root cause,Symptom,Fix Strategy,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/2141,https://github.com/checkstyle/checkstyle/pull/2142,Improper AST Traversal,False Positive,Fix Value Check,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/3117,https://github.com/checkstyle/checkstyle/pull/3269,Improper AST Traversal,False Positive,Fix Value Check,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/3300,https://github.com/checkstyle/checkstyle/pull/5076,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/3240,https://github.com/checkstyle/checkstyle/pull/3243,Incorrect AST Generation,False Positive,Fix Grammar Issue,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/3237,https://github.com/checkstyle/checkstyle/pull/3244,Incorrect AST Generation,False Positive,Fix Grammar Issue,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/3830,https://github.com/checkstyle/checkstyle/pull/3842,Improper AST Traversal,False Positive,Fix Incorrect Type Operation,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/3733,https://github.com/checkstyle/checkstyle/pull/3737,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/4846,https://github.com/checkstyle/checkstyle/pull/4902,Improper AST Traversal,False Positive,Fix Annotation Filter,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/5154,https://github.com/checkstyle/checkstyle/pull/5311,Improper AST Traversal,False Positive,Fix Value Check,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/5951,https://github.com/checkstyle/checkstyle/pull/8083,Improper AST Traversal,False Positive,Fix Incorrect Type Operation,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/6446,https://github.com/checkstyle/checkstyle/pull/6539,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/10515,https://github.com/checkstyle/checkstyle/pull/10601,Misprocessing of Configuration File,Crash/Error,Fix Grammar Issue,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/8652,https://github.com/checkstyle/checkstyle/pull/10435,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/7522,https://github.com/checkstyle/checkstyle/pull/7772,Improper AST Traversal,Crash/Error,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/9260,https://github.com/checkstyle/checkstyle/pull/9265,Improper AST Traversal,Crash/Error,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/1148,https://github.com/checkstyle/checkstyle/commit/e3c089a4cde5e1074dfec8801727de1e3395a2ef,Improper AST Traversal,Crash/Error,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/904,https://github.com/checkstyle/checkstyle/pull/2891,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/2079,https://github.com/checkstyle/checkstyle/pull/2891,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/2821,https://github.com/checkstyle/checkstyle/pull/2891,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/3236,https://github.com/checkstyle/checkstyle/pull/7407,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/3238,https://github.com/checkstyle/checkstyle/pull/7407,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/4589,https://github.com/checkstyle/checkstyle/pull/7407,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/3732,https://github.com/checkstyle/checkstyle/pull/3734,Improper AST Traversal,Crash/Error,Fix Value Check,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/4472,https://github.com/checkstyle/checkstyle/pull/4595,Improper AST Traversal,Crash/Error,Fix Value Check,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/4169,https://github.com/checkstyle/checkstyle/pull/5252,Improper AST Traversal,Crash/Error,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/8734,https://github.com/checkstyle/checkstyle/pull/8736,Incorrect AST Generation,Wrong Intermediate Result,Fix Grammar Issue,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/5327,https://github.com/checkstyle/checkstyle/pull/5328,Improper AST Traversal,Wrong Intermediate Result,Fix AST Node Retrieval,
Infer,https://github.com/facebook/infer/issues/559,https://github.com/facebook/infer/commit/56872d8126dbaa60e463612655b2bc8965b1288a,Misprocessing of Configuration File,False Negative,Others,
Infer,https://github.com/facebook/infer/issues/1011,https://github.com/facebook/infer/commit/f6cb99fc551c982444baebb95cab0027d0c8c301,Incomplete Semantics,False Positive,Others,
Infer,https://github.com/facebook/infer/issues/576,https://github.com/facebook/infer/commit/f6cb99fc551c982444baebb95cab0027d0c8c301,Incomplete Semantics,False Positive,Others,
Infer,https://github.com/facebook/infer/issues/142,https://github.com/facebook/infer/commit/7821266c8feec03b7edf157d474e6a5ec364499f,Incomplete Semantics,False Positive,Others,
Infer,https://github.com/facebook/infer/issues/141,https://github.com/facebook/infer/pull/143,Incomplete Semantics,False Positive,Fix Value Check,
Infer,https://github.com/facebook/infer/issues/533,https://github.com/facebook/infer/commit/715f6ffa7ee65bdf3ad4d9c63c7b640384c1ea2f,Erroneous Type Operations,False Positive,Fix Incorrect Type Operation,
PMD,https://github.com/pmd/pmd/issues/2876,https://github.com/pmd/pmd/pull/3065,Misprocessing of Configuration File,False Negative,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/1952,https://github.com/pmd/pmd/pull/1958,Misprocessing of Configuration File,False Negative,Fix Incorrect Type Operation,
PMD,https://github.com/pmd/pmd/issues/1912,https://github.com/pmd/pmd/pull/2047,Erroneous Type Operations,False Negative,Fix Incorrect Type Operation,
PMD,https://github.com/pmd/pmd/issues/246,https://github.com/pmd/pmd/pull/249,Improper AST Traversal,False Negative,Fix Incorrect Type Operation,
PMD,https://github.com/pmd/pmd/issues/247,https://github.com/pmd/pmd/pull/249,Improper AST Traversal,False Negative,Fix Incorrect Type Operation,
PMD,https://github.com/pmd/pmd/issues/248,https://github.com/pmd/pmd/pull/249,Improper AST Traversal,False Negative,Fix Incorrect Type Operation,
PMD,https://github.com/pmd/pmd/issues/357,https://github.com/pmd/pmd/commit/3d08dbb48087c93c993dd1ea4367b617718b1ee5,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/1782,https://github.com/pmd/pmd/pull/1771,Improper AST Traversal,False Negative,Redesign rule checker pattern,
PMD,https://github.com/pmd/pmd/issues/3874,https://github.com/pmd/pmd/pull/3964,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/3824,https://github.com/pmd/pmd/pull/4003,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/3823,https://github.com/pmd/pmd/pull/4018,Incomplete Semantics,False Positive,Redesign rule checker pattern,
PMD,https://github.com/pmd/pmd/issues/2757,https://github.com/pmd/pmd/pull/3197,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/3118,https://github.com/pmd/pmd/pull/3157,Erroneous Type Operations,False Positive,Fix Incorrect Type Operation,
PMD,https://github.com/pmd/pmd/issues/4020,https://github.com/pmd/pmd/pull/4018,Incomplete Semantics,False Positive,Redesign rule checker pattern,
PMD,https://github.com/pmd/pmd/issues/4004,https://github.com/pmd/pmd/pull/4018,Incomplete Semantics,False Positive,Redesign rule checker pattern,
PMD,https://github.com/pmd/pmd/issues/4011,https://github.com/pmd/pmd/pull/4018,Incomplete Semantics,False Positive,Redesign rule checker pattern,
PMD,https://github.com/pmd/pmd/issues/215,https://github.com/pmd/pmd/pull/220,Improper AST Traversal,False Positive,Fix Incorrect Type Operation,
PMD,https://github.com/pmd/pmd/issues/438,https://github.com/pmd/pmd/pull/581,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/520,https://github.com/pmd/pmd/pull/2777,Improper AST Traversal,False Positive,Fix Incorrect Type Operation,
PMD,https://github.com/pmd/pmd/issues/527,https://github.com/oowekyala/pmd/commit/3b48ef6407c5a30cf8f909a2a63408494e6d8548,"Improper AST Traversal",False Positive,Fix AST Node Retrieval,
PMD,https://github.com/pmd/pmd/issues/667,https://github.com/pmd/pmd/pull/1155,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/719,https://github.com/pmd/pmd/pull/1017,Improper AST Traversal,False Positive,Fix Incorrect Type Operation,
PMD,https://github.com/pmd/pmd/issues/907,https://github.com/pmd/pmd/commit/8b279fac252f213426f5606c32195ddf7c8aeb67,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/940,https://github.com/pmd/pmd/pull/1256,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/1547,https://github.com/pmd/pmd/pull/1623,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/1365,https://github.com/pmd/pmd/pull/1374,Misprocessing of Configuration File,False Positive,Fix Incorrect Type Operation,
PMD,https://github.com/pmd/pmd/issues/1641,https://github.com/pmd/pmd/pull/1640,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
PMD,https://github.com/pmd/pmd/issues/1003,https://github.com/pmd/pmd/pull/1010,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/1832,https://github.com/pmd/pmd/pull/1916,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/1703,https://github.com/pmd/pmd/pull/1792,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/2098,https://github.com/pmd/pmd/pull/2099,Erroneous Type Operations,False Positive,Fix Incorrect Type Operation,
PMD,https://github.com/pmd/pmd/issues/2673,https://github.com/pmd/pmd/pull/2674,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/2454,https://github.com/pmd/pmd/pull/3064,Misprocessing of Configuration File,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/3981,https://github.com/pmd/pmd/pull/4002,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/3998,https://github.com/pmd/pmd/pull/4002,Incomplete Semantics,False Positive,Fix Annotation Filter,
PMD,https://github.com/pmd/pmd/issues/1842,https://github.com/pmd/pmd/pull/1843,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
PMD,https://github.com/pmd/pmd/issues/1367,https://github.com/pmd/pmd/pull/1759,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
PMD,https://github.com/pmd/pmd/issues/208,https://github.com/pmd/pmd/pull/211,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
PMD,https://github.com/pmd/pmd/issues/206,https://github.com/Monits/pmd/commit/c95f17d85166fc375c6dc32686ba6e9d7f5873f8,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
PMD,https://github.com/pmd/pmd/issues/414,https://github.com/pmd/pmd/pull/416,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
PMD,https://github.com/pmd/pmd/issues/415,https://github.com/pmd/pmd/pull/416,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
PMD,https://github.com/pmd/pmd/issues/417,https://github.com/pmd/pmd/pull/416,Incorrect AST Generation,Crash/Error,Fix Grammar Issue,
PMD,https://github.com/pmd/pmd/issues/1369,https://github.com/pmd/pmd/pull/1388,Erroneous Type Operations,Crash/Error,Fix Incorrect Type Operation,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3536,https://github.com/SonarSource/sonar-java/pull/3221,Unrecognized Equivalent Annotations,False Negative,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3623,https://github.com/SonarSource/sonar-java/pull/3298,Unrecognized Equivalent Annotations,False Negative,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3586,https://github.com/SonarSource/sonar-java/pull/3275,Unrecognized Equivalent Annotations,False Negative,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3447,https://github.com/SonarSource/sonar-java/pull/3129,Unrecognized Equivalent Annotations,False Negative,"Fix Annotation Filter",
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-1547,https://github.com/SonarSource/sonar-java/pull/738,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-1932,https://github.com/SonarSource/sonar-java/pull/1070,Improper AST Traversal,False Negative,"Fix Annotation Filter",
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2617,https://github.com/SonarSource/sonar-java/pull/1872,Unrecognized Equivalent Annotations,False Negative,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2284,https://github.com/SonarSource/sonar-java/pull/1870,Improper AST Traversal,False Negative,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2587,https://github.com/SonarSource/sonar-java/pull/1827,Improper AST Traversal,False Negative,Fix AST Node Retrieval,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2653,https://github.com/SonarSource/sonar-java/pull/2070,Unrecognized Equivalent Annotations,False Negative,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2689,https://github.com/SonarSource/sonar-java/pull/2252,Unrecognized Equivalent Annotations,False Negative,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3561,https://github.com/SonarSource/sonar-java/pull/3305,Improper AST Traversal,False Negative,Fix Annotation Filter,
SonarQube,"https://sonarsource.atlassian.net/browse/SONARJAVA-2790
https://sonarsource.atlassian.net/browse/SONARJAVA-2866#icft=SONARJAVA-2866",https://github.com/SonarSource/sonar-java/pull/2186,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2734,https://github.com/SonarSource/sonar-java/pull/1999,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3370,https://github.com/SonarSource/sonar-java/pull/3099,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3122,https://github.com/SonarSource/sonar-java/pull/2596,Unrecognized Equivalent Annotations,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3535,https://github.com/SonarSource/sonar-java/pull/3230,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3734,https://github.com/SonarSource/sonar-java/pull/3541,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3798,https://github.com/SonarSource/sonar-java/pull/3559,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3612,https://github.com/SonarSource/sonar-java/pull/3273,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2895,https://github.com/SonarSource/sonar-java/pull/2235,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3320,https://github.com/SonarSource/sonar-java/pull/2875,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3687,https://github.com/SonarSource/sonar-java/pull/3441,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3804,https://github.com/SonarSource/sonar-java/pull/3561,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3177,https://github.com/SonarSource/sonar-java/pull/2685,Improper AST Traversal,False Positive,Fix Incorrect Type Operation,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-4117,https://github.com/SonarSource/sonar-java/pull/3912,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2864,https://github.com/SonarSource/sonar-java/pull/2168,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2206,https://github.com/SonarSource/sonar-java/pull/1336,Incorrect AST Generation,False Positive,Fix Incorrect Type Operation,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2205,https://github.com/SonarSource/sonar-java/pull/1336,Erroneous Type Operations,False Positive,Fix Incorrect Type Operation,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2083,https://github.com/SonarSource/sonar-java/pull/1336,Improper AST Traversal,False Positive,Fix Incorrect Type Operation,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-1513,https://github.com/SonarSource/sonar-java/pull/684,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-1559,https://github.com/SonarSource/sonar-java/pull/332,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-1691,https://github.com/SonarSource/sonar-java/pull/838,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-958,https://github.com/SonarSource/sonar-java/pull/332,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-1179,https://github.com/SonarSource/sonar-java/pull/332,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-1156,https://github.com/SonarSource/sonar-java/pull/328,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-967,https://github.com/SonarSource/sonar-java/pull/177,Improper AST Traversal,False Positive,Fix Value Check,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-735,https://github.com/SonarSource/sonar-java/commit/bc6fd3571a0819327d401812ebbadb8d82c88a0e,Erroneous Type Operations,False Positive,Fix Incorrect Type Operation,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-960,https://github.com/SonarSource/sonar-java/pull/130,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-1454,https://github.com/SonarSource/sonar-java/pull/618,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-1417,https://github.com/SonarSource/sonar-java/pull/532,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-927,https://github.com/SonarSource/sonar-java/pull/135,Erroneous Type Operations,False Positive,Fix Incorrect Type Operation,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-1408,https://github.com/SonarSource/sonar-java/pull/533,Incomplete Semantics,False Positive,Fix Value Check,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-1299,https://github.com/SonarSource/sonar-java/pull/638,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-1373,https://github.com/SonarSource/sonar-java/pull/484,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-4342,https://github.com/SonarSource/sonar-java/pull/4203,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-4218,https://github.com/SonarSource/sonar-java/pull/4024,Misprocessing of Configuration File,False Positive,Fix Incorrect Type Operation,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-4146,https://github.com/SonarSource/sonar-java/pull/3953,"Erroneous Type Operations",False Positive,Fix Incorrect Type Operation,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3864,"https://github.com/SonarSource/sonar-java/pull/3784
https://github.com/SonarSource/sonar-java/pull/3795",Misprocessing of Configuration File,False Positive,Redesign rule checker pattern,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3710,https://github.com/SonarSource/sonar-java/pull/3471,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3654,https://github.com/SonarSource/sonar-java/pull/3373,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3358,https://github.com/SonarSource/sonar-java/pull/2928,Incomplete Semantics,False Positive,"Fix Annotation Filter",
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3367,https://github.com/SonarSource/sonar-java/pull/2937,Unrecognized Equivalent Annotations,False Positive,"Fix Annotation Filter",
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3338,https://github.com/SonarSource/sonar-java/pull/2897,Incomplete Semantics,False Positive,"Fix Annotation Filter",
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3330,https://github.com/SonarSource/sonar-java/pull/2892,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3331,https://github.com/SonarSource/sonar-java/pull/2893,Incomplete Semantics,False Positive,"Fix Annotation Filter",
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-176,https://github.com/SonarSource/sonar-java/pull/1326,Improper AST Traversal,False Positive,Fix Value Check,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2776,https://github.com/SonarSource/sonar-java/pull/2186,Unrecognized Equivalent Annotations,False Positive,"Fix Annotation Filter",
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3508,https://github.com/SonarSource/sonar-java/commit/b2afe6dcc9d40ca6c70927abef7589b798871b31,Incomplete Semantics,False Positive,Fix Value Check,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3470,https://github.com/SonarSource/sonar-java/pull/3315,Incomplete Semantics,False Positive,"Fix Annotation Filter",
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3499,https://github.com/SonarSource/sonar-java/pull/3156,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-3174,https://github.com/SonarSource/sonar-java/pull/2688,Incomplete Semantics,False Positive,Fix Annotation Filter,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2897,https://github.com/SonarSource/sonar-java/pull/2231,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
SonarQube,https://sonarsource.atlassian.net/browse/SONARJAVA-2788,https://github.com/SonarSource/sonar-java/pull/2211,Incomplete Semantics,False Positive,Fix Annotation Filter,
